batch_id,timestamp,temperature,conveyor_speed,hold_time,batch_size,material_type,hour_of_day,operator_exp,temp_speed_product,temp_deviation,speed_deviation,hold_per_kg,shift,hours_into_shift,quality_score,yield_pct,performance_pct,energy_kwh,co2_kg,energy_per_kg,fault_type
B0010,2025-09-02 06:28:35,53.0,206.4,56.1,515.0,0,11,2,10939.2,6.309450000000005,36.672950000000014,0.10893203883495146,0,5,95.5,94.5,66.6,41.7,34.19,0.080971,normal
B0011,2025-09-01 17:50:46,66.9,109.2,30.1,512.0,0,14,2,7305.4800000000005,7.59055,60.52704999999999,0.0587890625,1,0,100.0,84.9,100.0,27.3,22.39,0.05332,normal
B0012,2025-09-02 01:14:49,66.6,111.9,29.0,504.0,1,8,1,7452.54,7.290549999999989,57.827049999999986,0.057539682539682536,0,2,100.0,84.7,100.0,27.4,22.47,0.054365,normal
B0013,2025-09-01 21:24:22,60.7,151.0,39.8,498.0,0,21,2,9165.7,1.3905499999999975,18.72704999999999,0.07991967871485943,1,7,97.7,87.7,88.0,32.8,26.9,0.065863,normal
B0014,2025-09-02 14:41:47,64.5,131.3,33.3,510.0,1,13,1,8468.85,5.190549999999995,38.42704999999998,0.06529411764705882,0,7,100.0,85.8,100.0,29.8,24.44,0.058431,bearing_wear
B0015,2025-09-02 16:23:34,45.9,260.1,69.2,522.0,1,12,1,11938.59,13.409450000000007,90.37295000000003,0.13256704980842912,0,6,94.3,98.3,60.0,52.3,42.89,0.100192,normal
B0016,2025-09-02 00:43:11,49.2,238.5,64.4,520.0,2,6,1,11734.2,10.109450000000002,68.77295000000001,0.12384615384615386,0,0,94.7,99.1,60.0,47.8,39.2,0.091923,normal
B0017,2025-09-02 15:32:32,61.5,152.0,40.5,499.0,0,18,1,9348.0,2.1905499999999947,17.72704999999999,0.0811623246492986,1,4,98.1,89.4,86.8,32.5,26.65,0.06513,normal
B0018,2025-09-02 20:03:19,55.5,182.1,48.0,499.0,2,7,1,10106.55,3.8094500000000053,12.372950000000003,0.09619238476953908,0,1,96.7,92.0,77.1,36.8,30.18,0.073747,normal
B0019,2025-09-02 02:49:38,65.0,136.0,37.3,510.0,0,10,2,8840.0,5.690549999999995,33.72704999999999,0.07313725490196078,0,4,100.0,87.4,97.6,30.2,24.76,0.059216,normal
B0020,2025-09-02 03:32:14,64.8,131.5,33.7,511.0,2,11,2,8521.199999999999,5.490549999999992,38.22704999999999,0.06594911937377691,0,5,100.0,86.1,100.0,29.6,24.27,0.057926,normal
B0021,2025-09-03 09:54:01,65.9,122.4,31.9,515.0,2,9,0,8066.160000000001,6.59055,47.327049999999986,0.06194174757281553,0,3,100.0,87.6,99.2,28.4,23.29,0.055146,normal
B0022,2025-09-02 22:23:01,61.0,148.4,39.3,502.0,1,14,1,9052.4,1.6905499999999947,21.327049999999986,0.07828685258964142,1,0,99.7,91.2,88.5,32.6,26.73,0.06494,normal
B0023,2025-09-03 00:38:47,60.1,156.3,39.3,502.0,0,8,2,9393.630000000001,0.7905499999999961,13.42704999999998,0.07828685258964142,0,2,99.6,90.9,86.4,33.4,27.39,0.066534,normal
B0024,2025-09-02 12:53:39,60.7,163.8,42.9,507.0,2,21,0,9942.660000000002,1.3905499999999975,5.92704999999998,0.0846153846153846,1,7,98.9,90.0,84.9,33.8,27.72,0.066667,normal
B0025,2025-09-02 15:51:16,58.2,175.4,46.5,494.0,1,17,1,10208.28,1.1094500000000025,5.672950000000014,0.09412955465587045,1,3,96.7,90.7,75.6,36.4,29.85,0.073684,normal
B0026,2025-09-03 08:27:21,64.5,120.5,31.8,498.0,0,7,2,7772.25,5.190549999999995,49.22704999999999,0.06385542168674699,0,1,100.0,86.6,100.0,28.4,23.29,0.057028,normal
B0027,2025-09-02 19:33:35,47.6,241.4,66.0,521.0,2,21,1,11490.640000000001,11.709450000000004,71.67295000000001,0.12667946257197696,1,7,91.8,99.9,60.0,49.9,40.92,0.095777,normal
B0028,2025-09-03 17:20:01,58.1,184.0,46.3,502.0,0,20,0,10690.4,1.209450000000004,14.272950000000009,0.09223107569721115,1,6,98.0,93.8,78.5,37.1,30.42,0.073904,normal
B0029,2025-09-03 18:09:45,63.6,136.3,35.0,498.0,2,17,1,8668.68,4.290549999999996,33.42704999999998,0.07028112449799197,1,3,100.0,88.3,100.0,30.7,25.17,0.061647,bearing_wear
B0030,2025-09-02 20:40:26,56.3,188.1,53.1,498.0,0,18,0,10590.029999999999,3.009450000000008,18.372950000000003,0.10662650602409639,1,4,94.3,94.2,72.0,39.7,32.55,0.079719,normal
B0031,2025-09-04 01:22:20,59.0,173.6,47.7,507.0,0,15,1,10242.4,0.30945000000000533,3.872950000000003,0.0940828402366864,1,1,98.1,91.9,78.0,35.8,29.36,0.070611,normal
B0032,2025-09-04 04:44:51,64.8,133.5,36.8,503.0,2,16,0,8650.8,5.490549999999992,36.22704999999999,0.0731610337972167,1,2,100.0,87.6,97.9,30.2,24.76,0.06004,normal
B0033,2025-09-04 05:22:44,61.2,154.8,40.8,506.0,1,14,0,9473.760000000002,1.8905499999999975,14.92704999999998,0.08063241106719367,1,0,98.4,89.5,87.0,33.1,27.14,0.065415,bearing_wear
B0034,2025-09-04 13:08:27,47.5,245.4,66.7,518.0,2,17,1,11656.5,11.809450000000005,75.67295000000001,0.12876447876447877,1,3,91.7,98.1,60.0,50.0,41.0,0.096525,normal
B0035,2025-09-03 15:24:26,52.3,218.1,57.8,514.0,0,17,1,11406.63,7.009450000000008,48.37295,0.11245136186770427,1,3,93.4,95.9,60.0,43.9,36.0,0.085409,normal
B0036,2025-09-04 05:43:29,56.1,181.3,49.3,487.0,2,14,1,10170.93,3.209450000000004,11.57295000000002,0.10123203285420944,1,0,96.4,93.7,71.0,36.9,30.26,0.07577,normal
B0037,2025-09-04 09:31:10,62.4,146.2,38.1,503.0,1,15,0,9122.88,3.0905499999999932,23.527050000000003,0.07574552683896621,1,1,100.0,88.4,92.9,31.4,25.75,0.062425,normal
B0038,2025-09-05 04:18:15,70.1,107.4,28.9,506.0,1,7,2,7528.74,10.790549999999989,62.327049999999986,0.05711462450592885,0,1,100.0,84.5,100.0,27.0,22.14,0.05336,normal
B0039,2025-09-02 23:45:02,62.2,139.2,36.9,497.0,0,11,1,8658.24,2.8905499999999975,30.527050000000003,0.07424547283702213,0,5,99.8,86.5,96.9,31.2,25.58,0.062777,normal
B0040,2025-09-05 08:04:10,47.5,244.6,67.9,522.0,2,20,0,11618.5,11.809450000000005,74.87295,0.13007662835249043,1,6,91.2,98.5,60.0,49.8,40.84,0.095402,normal
B0041,2025-09-05 05:00:26,58.3,175.3,51.0,494.0,0,12,1,10219.99,1.0094500000000082,5.57295000000002,0.10323886639676114,0,6,96.7,90.6,75.1,37.6,30.83,0.076113,normal
B0042,2025-09-03 07:42:48,65.1,124.9,33.0,499.0,0,13,1,8130.99,5.790549999999989,44.827049999999986,0.06613226452905811,0,7,100.0,87.1,100.0,29.1,23.86,0.058317,normal
B0043,2025-09-05 09:20:15,56.7,180.5,49.8,495.0,1,15,2,10234.35,2.6094500000000025,10.772950000000009,0.1006060606060606,1,1,96.2,93.3,73.7,37.4,30.67,0.075556,normal
B0044,2025-09-05 15:14:08,71.4,92.0,24.2,518.0,1,6,2,6568.8,12.09055,77.72704999999999,0.04671814671814672,0,0,100.0,81.9,100.0,25.3,20.75,0.048842,normal
B0045,2025-09-04 21:28:00,60.7,152.2,40.3,499.0,0,11,0,9238.539999999999,1.3905499999999975,17.527050000000003,0.08076152304609217,0,5,99.8,89.7,84.7,33.2,27.22,0.066533,normal
B0046,2025-09-05 05:48:53,62.6,157.7,41.2,494.0,1,15,2,9872.019999999999,3.290549999999996,12.027050000000003,0.0834008097165992,1,1,100.0,87.8,88.0,33.6,27.55,0.068016,normal
B0047,2025-09-05 00:26:48,55.8,194.1,52.3,500.0,0,17,0,10830.779999999999,3.509450000000008,24.372950000000003,0.1046,1,3,95.8,95.3,71.3,39.1,32.06,0.0782,normal
B0048,2025-09-04 01:06:12,68.4,111.2,30.3,504.0,0,21,1,7606.080000000001,9.09055,58.52704999999999,0.06011904761904762,1,7,100.0,85.5,100.0,27.6,22.63,0.054762,normal
B0049,2025-09-03 09:40:29,54.7,179.5,47.9,512.0,0,7,1,9818.65,4.6094500000000025,9.772950000000009,0.0935546875,0,1,96.5,92.5,75.6,36.5,29.93,0.071289,normal
B0050,2025-09-06 08:17:42,66.7,120.3,31.2,507.0,1,8,0,8024.01,7.3905499999999975,49.427049999999994,0.061538461538461535,0,2,100.0,85.8,100.0,28.5,23.37,0.056213,bearing_wear
B0051,2025-09-05 15:22:46,73.2,90.6,24.1,515.0,0,9,0,6631.92,13.890549999999998,79.12705,0.04679611650485437,0,3,100.0,80.3,100.0,25.4,20.83,0.04932,wet_material
B0052,2025-09-05 03:00:52,67.3,138.8,36.0,497.0,0,18,2,9341.24,7.990549999999992,30.92704999999998,0.07243460764587525,1,4,100.0,87.0,91.9,30.5,25.01,0.061368,normal
B0053,2025-09-06 05:12:46,57.7,183.3,45.4,501.0,0,20,1,10576.410000000002,1.6094500000000025,13.57295000000002,0.0906187624750499,1,6,97.0,92.9,76.6,36.8,30.18,0.073453,bearing_wear
B0054,2025-09-05 18:49:03,63.6,130.7,37.5,500.0,0,20,2,8312.519999999999,4.290549999999996,39.02705,0.075,1,6,100.0,87.6,97.5,30.1,24.68,0.0602,normal
B0055,2025-09-03 13:53:48,62.9,142.9,38.7,499.0,1,9,1,8988.41,3.5905499999999932,26.827049999999986,0.07755511022044088,0,3,99.6,89.1,92.8,31.6,25.91,0.063327,normal
B0056,2025-09-06 09:30:17,53.1,208.1,57.5,507.0,1,17,1,11050.11,6.209450000000004,38.37295,0.11341222879684418,1,3,96.2,95.6,61.3,42.6,34.93,0.084024,normal
B0057,2025-09-05 17:38:11,58.0,198.7,54.8,507.0,2,12,1,11524.599999999999,1.3094500000000053,28.972949999999997,0.10808678500986192,0,6,97.0,94.6,64.8,40.1,32.88,0.079093,wet_material
B0058,2025-09-06 21:45:07,47.9,250.8,65.9,511.0,0,20,0,12013.32,11.409450000000007,81.07295000000002,0.1289628180039139,1,6,91.7,99.7,60.0,49.9,40.92,0.097652,normal
B0059,2025-09-03 20:42:52,48.0,242.0,67.7,533.0,1,13,2,11616.0,11.309450000000005,72.27295000000001,0.12701688555347093,0,7,91.4,98.3,60.0,49.6,40.67,0.093058,normal
B0060,2025-09-04 03:13:26,50.6,239.2,63.0,513.0,0,8,0,12103.52,8.709450000000004,69.47295,0.12280701754385964,0,2,92.6,99.3,60.0,48.0,39.36,0.093567,normal
B0061,2025-09-07 04:25:24,59.9,162.3,43.8,498.0,0,16,0,9721.77,0.5905499999999932,7.42704999999998,0.08795180722891566,1,2,100.0,90.8,84.7,34.1,27.96,0.068474,normal
B0062,2025-09-07 15:27:57,57.9,171.4,48.6,491.0,2,9,2,9924.06,1.4094500000000068,1.6729500000000144,0.0989816700610998,0,3,98.3,91.2,78.2,36.0,29.52,0.07332,normal
B0063,2025-09-04 14:46:06,62.8,131.4,37.0,505.0,0,14,2,8251.92,3.490549999999992,38.327049999999986,0.07326732673267326,1,0,100.0,89.4,97.4,30.2,24.76,0.059802,normal
B0064,2025-09-05 03:50:25,69.1,115.0,31.0,512.0,2,12,1,7946.499999999999,9.790549999999989,54.72704999999999,0.060546875,0,6,100.0,85.0,100.0,27.9,22.88,0.054492,normal
B0065,2025-09-06 09:14:28,64.9,131.0,34.2,499.0,2,16,2,8501.900000000001,5.59055,38.72704999999999,0.0685370741482966,1,2,100.0,87.3,100.0,29.8,24.44,0.059719,normal
B0066,2025-09-05 14:46:21,66.2,121.5,32.0,501.0,2,19,2,8043.3,6.8905499999999975,48.22704999999999,0.06387225548902195,1,5,100.0,89.5,97.8,28.5,23.37,0.056886,normal
B0067,2025-09-07 20:32:36,71.0,96.8,25.1,514.0,2,14,2,6872.8,11.690549999999995,72.92705,0.048832684824902724,1,0,100.0,82.3,100.0,25.9,21.24,0.050389,calibration_needed
B0068,2025-09-05 15:48:17,63.0,141.4,37.2,507.0,0,19,0,8908.2,3.6905499999999947,28.327049999999986,0.07337278106508877,1,5,100.0,86.4,96.0,31.2,25.58,0.061538,normal
B0069,2025-09-08 04:08:09,57.7,183.2,50.3,498.0,1,20,1,10570.64,1.6094500000000025,13.472949999999997,0.10100401606425702,1,6,98.2,94.3,74.1,37.3,30.59,0.0749,normal
B0070,2025-09-05 17:57:50,47.3,247.9,66.8,526.0,2,11,1,11725.67,12.009450000000008,78.17295000000001,0.12699619771863116,0,5,92.7,100.0,60.0,49.9,40.92,0.094867,normal
B0071,2025-09-07 04:38:47,66.8,139.4,35.3,495.0,1,20,2,9311.92,7.490549999999992,30.327049999999986,0.0713131313131313,1,6,99.6,87.2,92.6,30.6,25.09,0.061818,normal
B0072,2025-09-08 04:02:47,60.3,151.3,39.2,504.0,0,6,0,9123.39,0.9905499999999918,18.42704999999998,0.07777777777777778,0,0,97.5,88.5,83.2,32.9,26.98,0.065278,normal
B0073,2025-09-05 02:51:44,52.3,223.3,60.0,512.0,0,7,2,11678.59,7.009450000000008,53.57295000000002,0.1171875,0,1,94.3,94.4,60.0,44.1,36.16,0.086133,normal
B0074,2025-09-07 05:06:51,56.6,180.7,50.1,506.0,1,20,2,10227.619999999999,2.709450000000004,10.972949999999997,0.09901185770750988,1,6,96.1,92.4,74.6,37.4,30.67,0.073913,wet_material
B0075,2025-09-05 17:04:49,61.7,155.1,40.2,496.0,0,16,2,9569.67,2.3905499999999975,14.627049999999997,0.0810483870967742,1,2,98.6,88.3,86.5,32.7,26.81,0.065927,normal
B0076,2025-09-08 01:17:40,50.2,243.2,63.2,522.0,0,6,1,12208.64,9.109450000000002,73.47295,0.1210727969348659,0,0,94.0,97.1,60.0,47.5,38.95,0.090996,normal
B0077,2025-09-09 06:00:50,63.6,144.6,37.2,501.0,0,21,0,9196.56,4.290549999999996,25.127049999999997,0.07425149700598803,1,7,99.2,87.0,93.7,31.5,25.83,0.062874,normal
B0078,2025-09-08 00:44:28,46.5,259.2,68.4,522.0,0,6,2,12052.8,12.809450000000005,89.47295,0.1310344827586207,0,0,92.1,99.2,60.0,52.8,43.3,0.101149,normal
B0079,2025-09-05 10:46:43,60.7,161.8,42.8,501.0,0,21,2,9821.260000000002,1.3905499999999975,7.92704999999998,0.08542914171656686,1,7,97.7,90.2,85.6,34.2,28.04,0.068263,normal
B0080,2025-09-07 16:33:37,49.4,232.6,64.6,514.0,1,16,0,11490.439999999999,9.909450000000007,62.87295,0.12568093385214008,1,2,91.2,98.7,60.0,47.3,38.79,0.092023,normal
B0081,2025-09-05 08:50:07,59.2,201.1,55.0,518.0,0,6,0,11905.12,0.10945000000000249,31.372950000000003,0.10617760617760617,0,0,93.7,93.9,66.0,39.8,32.64,0.076834,normal
B0082,2025-09-07 00:40:06,65.4,119.6,32.3,504.0,0,15,2,7821.84,6.09055,50.12705,0.06408730158730158,1,1,100.0,87.4,98.9,28.4,23.29,0.056349,normal
B0083,2025-09-09 08:53:35,61.6,157.7,43.3,497.0,0,21,1,9714.32,2.290549999999996,12.027050000000003,0.08712273641851107,1,7,99.7,88.4,83.7,34.3,28.13,0.069014,normal
B0084,2025-09-05 17:02:03,50.7,225.5,61.7,515.0,0,11,0,11432.85,8.609450000000002,55.77295000000001,0.11980582524271845,0,5,93.6,98.4,60.0,45.5,37.31,0.08835,normal
B0085,2025-09-10 01:37:31,69.8,106.9,28.9,497.0,0,9,0,7461.62,10.490549999999992,62.827049999999986,0.058148893360160964,0,3,100.0,83.4,100.0,27.2,22.3,0.054728,normal
B0086,2025-09-10 04:02:13,58.2,200.1,55.3,505.0,0,9,0,11645.82,1.1094500000000025,30.372950000000003,0.1095049504950495,0,3,93.8,94.6,63.7,40.2,32.96,0.079604,normal
B0087,2025-09-06 14:35:46,50.0,231.8,60.6,513.0,0,20,1,11590.0,9.309450000000005,62.07295000000002,0.11812865497076024,1,6,91.6,97.4,60.0,45.6,37.39,0.088889,normal
B0088,2025-09-07 21:47:52,51.0,223.1,61.0,516.0,1,21,1,11378.1,8.309450000000005,53.37295,0.1182170542635659,1,7,93.7,95.2,60.0,45.5,37.31,0.088178,normal
B0089,2025-09-06 19:43:23,52.9,210.9,58.0,518.0,2,21,1,11156.61,6.409450000000007,41.172950000000014,0.11196911196911197,1,7,95.4,96.3,61.9,42.8,35.1,0.082625,bearing_wear
B0090,2025-09-05 04:09:58,69.0,114.3,30.8,509.0,1,20,1,7886.7,9.690549999999995,55.427049999999994,0.06051080550098232,1,6,100.0,85.4,100.0,27.8,22.8,0.054617,normal
B0091,2025-09-10 02:01:34,61.6,155.4,39.8,494.0,0,8,1,9572.640000000001,2.290549999999996,14.327049999999986,0.08056680161943319,0,2,97.1,89.3,85.0,33.2,27.22,0.067206,normal
B0092,2025-09-06 12:47:26,51.8,214.2,58.7,514.0,0,15,1,11095.56,7.509450000000008,44.47295,0.1142023346303502,1,1,94.7,95.7,62.7,43.2,35.42,0.084047,normal
B0093,2025-09-10 03:43:19,59.3,170.7,48.5,491.0,2,13,2,10122.509999999998,0.009450000000008174,0.9729499999999973,0.09877800407331976,0,7,97.0,92.9,69.5,36.4,29.85,0.074134,normal
B0094,2025-09-07 07:33:02,46.6,255.3,68.7,531.0,1,11,2,11896.980000000001,12.709450000000004,85.57295000000002,0.12937853107344632,0,5,92.9,100.0,60.0,52.4,42.97,0.098682,normal
B0095,2025-09-10 00:30:41,50.3,242.5,62.8,514.0,0,6,0,12197.75,9.009450000000008,72.77295000000001,0.12217898832684825,0,0,94.1,97.7,60.0,47.6,39.03,0.092607,bearing_wear
B0096,2025-09-09 00:22:11,71.1,104.6,27.1,518.0,0,17,0,7437.059999999999,11.790549999999989,65.12705,0.05231660231660232,1,3,100.0,82.1,100.0,26.6,21.81,0.051351,normal
B0097,2025-09-07 16:24:03,63.5,139.3,36.9,501.0,2,17,2,8845.550000000001,4.190549999999995,30.42704999999998,0.07365269461077845,1,3,99.6,88.5,96.0,30.9,25.34,0.061677,normal
B0098,2025-09-08 16:49:01,66.4,125.3,33.2,518.0,2,15,0,8319.92,7.09055,44.427049999999994,0.06409266409266409,1,1,100.0,86.5,100.0,29.0,23.78,0.055985,normal
B0099,2025-09-10 07:49:56,52.3,217.2,61.5,520.0,1,15,0,11359.56,7.009450000000008,47.47295,0.11826923076923077,1,1,96.6,96.4,60.0,43.9,36.0,0.084423,normal
B0100,2025-09-11 12:26:02,49.0,239.9,62.2,524.0,1,18,0,11755.1,10.309450000000005,70.17295000000001,0.11870229007633588,1,4,92.8,96.1,60.0,48.0,39.36,0.091603,normal
B0101,2025-09-06 10:47:38,54.2,205.2,55.2,511.0,0,6,0,11121.84,5.1094500000000025,35.47295,0.10802348336594912,0,0,95.0,93.9,66.9,41.8,34.28,0.0818,normal
B0102,2025-09-11 19:50:09,48.3,241.5,66.5,519.0,1,12,0,11664.449999999999,11.009450000000008,71.77295000000001,0.128131021194605,0,6,93.3,100.0,60.0,49.8,40.84,0.095954,normal
B0103,2025-09-08 08:53:30,68.4,111.2,29.7,514.0,1,6,1,7606.080000000001,9.09055,58.52704999999999,0.05778210116731517,0,0,100.0,85.8,100.0,27.4,22.47,0.053307,calibration_needed
B0104,2025-09-11 02:00:01,49.1,232.8,64.3,527.0,0,11,1,11430.480000000001,10.209450000000004,63.07295000000002,0.12201138519924098,0,5,92.9,95.9,60.0,47.9,39.28,0.090892,normal
B0105,2025-09-10 01:22:33,58.7,185.8,45.4,483.0,0,8,1,10906.460000000001,0.6094500000000025,16.07295000000002,0.09399585921325052,0,2,97.8,92.1,78.6,36.8,30.18,0.07619,bearing_wear
B0106,2025-09-11 08:57:28,57.3,178.3,50.4,493.0,0,13,0,10216.59,2.009450000000008,8.57295000000002,0.10223123732251521,0,7,97.3,91.4,75.7,36.8,30.18,0.074645,normal
B0107,2025-09-06 05:45:51,43.6,272.6,71.0,523.0,1,12,1,11885.36,15.709450000000004,102.87295000000003,0.13575525812619502,0,6,90.7,100.0,60.0,54.4,44.61,0.104015,normal
B0108,2025-09-10 01:58:50,52.2,212.0,57.6,518.0,2,6,2,11066.400000000001,7.1094500000000025,42.27295000000001,0.1111969111969112,0,0,94.9,96.7,60.9,42.8,35.1,0.082625,normal
B0109,2025-09-10 14:51:36,57.1,182.7,50.6,486.0,0,8,2,10432.17,2.209450000000004,12.972949999999997,0.10411522633744856,0,2,96.4,93.1,74.0,37.2,30.5,0.076543,wet_material
B0110,2025-09-09 08:52:13,65.3,130.5,33.9,509.0,1,19,2,8521.65,5.990549999999992,39.22704999999999,0.06660117878192534,1,5,100.0,87.3,100.0,29.6,24.27,0.058153,normal
B0111,2025-09-07 01:08:14,61.1,149.0,41.2,499.0,0,8,1,9103.9,1.790549999999996,20.72704999999999,0.08256513026052105,0,2,98.9,89.6,89.0,32.6,26.73,0.065331,normal
B0112,2025-09-09 22:19:01,70.1,115.5,30.8,508.0,1,20,0,8096.549999999999,10.790549999999989,54.22704999999999,0.06062992125984252,1,6,100.0,85.7,100.0,27.9,22.88,0.054921,wet_material
B0113,2025-09-10 19:55:42,48.2,250.4,67.0,516.0,0,14,1,12069.28,11.109450000000002,80.67295000000001,0.1298449612403101,1,0,93.4,99.1,60.0,49.5,40.59,0.09593,bearing_wear
B0114,2025-09-08 10:45:39,48.0,240.6,66.6,523.0,0,11,0,11548.8,11.309450000000005,70.87295,0.12734225621414913,0,5,93.2,97.5,60.0,50.0,41.0,0.095602,bearing_wear
B0115,2025-09-11 17:11:04,48.0,246.1,66.4,517.0,2,6,0,11812.8,11.309450000000005,76.37295,0.1284332688588008,0,0,91.5,98.1,60.0,50.4,41.33,0.097485,wet_material
B0116,2025-09-06 05:30:19,47.9,241.5,66.7,531.0,1,15,0,11567.85,11.409450000000007,71.77295000000001,0.1256120527306968,1,1,91.9,97.4,60.0,50.3,41.25,0.094727,normal
B0117,2025-09-11 10:42:42,43.8,268.8,71.4,534.0,1,20,0,11773.44,15.509450000000008,99.07295000000002,0.13370786516853933,1,6,90.9,100.0,60.0,55.4,45.43,0.103745,normal
B0118,2025-09-06 20:07:42,58.6,170.9,45.1,498.0,1,13,0,10014.74,0.7094500000000039,1.1729500000000144,0.09056224899598393,0,7,97.7,92.0,82.0,35.2,28.86,0.070683,normal
B0119,2025-09-08 08:14:07,51.4,224.8,60.9,518.0,0,17,1,11554.720000000001,7.909450000000007,55.07295000000002,0.11756756756756756,1,3,93.3,96.5,60.0,44.7,36.65,0.086293,normal
B0120,2025-09-12 04:32:48,66.7,124.2,33.0,509.0,1,6,0,8284.140000000001,7.3905499999999975,45.52704999999999,0.06483300589390963,0,0,100.0,87.0,99.0,29.0,23.78,0.056974,normal
B0121,2025-09-07 03:29:26,43.7,268.9,71.6,530.0,0,13,2,11750.93,15.609450000000002,99.17294999999999,0.1350943396226415,0,7,93.6,100.0,60.0,55.2,45.26,0.104151,normal
B0122,2025-09-10 13:24:22,58.9,152.0,39.6,501.0,0,7,0,8952.8,0.40945000000000675,17.72704999999999,0.07904191616766468,0,1,99.0,88.2,85.2,32.9,26.98,0.065669,normal
B0123,2025-09-13 16:18:15,48.3,252.1,66.7,513.0,0,18,0,12176.429999999998,11.009450000000008,82.37295,0.13001949317738792,1,4,93.7,97.2,60.0,49.5,40.59,0.096491,normal
B0124,2025-09-11 08:16:02,66.3,141.5,35.2,497.0,2,15,0,9381.449999999999,6.990549999999992,28.22704999999999,0.07082494969818914,1,1,100.0,86.1,93.3,30.5,25.01,0.061368,normal
B0125,2025-09-09 09:24:57,63.4,130.6,36.9,495.0,0,7,1,8280.039999999999,4.090549999999993,39.12705,0.07454545454545454,0,1,100.0,88.7,96.6,30.1,24.68,0.060808,normal
B0126,2025-09-10 22:11:21,62.0,150.5,40.2,503.0,2,19,2,9331.0,2.6905499999999947,19.22704999999999,0.07992047713717694,1,5,99.4,88.2,88.7,32.6,26.73,0.064811,normal
B0127,2025-09-13 14:14:16,60.4,152.2,39.8,494.0,0,6,1,9192.88,1.0905499999999932,17.527050000000003,0.08056680161943319,0,0,96.7,88.7,85.8,33.0,27.06,0.066802,normal
B0128,2025-09-09 23:02:45,62.1,154.0,40.5,506.0,0,14,1,9563.4,2.790549999999996,15.727049999999991,0.0800395256916996,1,0,98.8,89.8,85.4,32.9,26.98,0.06502,bearing_wear
B0129,2025-09-06 17:26:10,51.4,219.9,60.6,514.0,1,9,0,11302.86,7.909450000000007,50.172950000000014,0.1178988326848249,0,3,94.8,96.3,60.0,43.9,36.0,0.085409,normal
B0130,2025-09-12 00:05:34,62.4,149.8,39.5,499.0,1,18,1,9347.52,3.0905499999999932,19.92704999999998,0.07915831663326653,1,4,97.9,88.1,89.2,32.9,26.98,0.065932,wet_material
B0131,2025-09-14 04:47:04,68.5,110.7,29.9,505.0,1,16,2,7582.95,9.190549999999995,59.02704999999999,0.059207920792079205,1,2,100.0,84.9,100.0,27.4,22.47,0.054257,normal
B0132,2025-09-14 09:00:03,72.9,91.3,23.8,515.0,0,20,0,6655.77,13.59055,78.42705,0.046213592233009713,1,6,100.0,81.9,100.0,25.3,20.75,0.049126,normal
B0133,2025-09-11 17:51:28,65.6,148.4,37.1,500.0,0,21,2,9735.039999999999,6.290549999999989,21.327049999999986,0.0742,1,7,100.0,87.8,94.4,31.7,25.99,0.0634,normal
